,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
591,017900,KR7017900002,광전자,KOSPI,,2545,2,-135,-5.04,2625,2645,2540,1856039,4792369690,147466876835,57943763,STK
592,096775,KR7096771001,SK이노베이션우,KOSPI,,117400,2,-2100,-1.76,119500,120200,117400,3016,356322300,146565212400,1248426,STK
593,094280,KR7094280005,효성ITX,KOSPI,,12670,2,-80,-0.63,12800,12800,12630,12309,156001730,146442394000,11558200,STK
594,007210,KR7007210008,벽산,KOSPI,,2130,1,5,0.24,2115,2130,2095,58218,122874600,146032800000,68560000,STK
595,008040,KR7008040008,사조동아원,KOSPI,,1022,2,-33,-3.13,1052,1054,1015,1674897,1723537667,144249781200,141144600,STK
596,058850,KR7058850009,KTcs,KOSPI,,3360,2,-70,-2.04,3410,3430,3320,487224,1647715115,143421600000,42685000,STK
597,308170,KR7308170000,씨티알모빌리티,KOSPI,,16540,1,490,3.05,16100,16800,15920,91266,1499621680,142409400000,8610000,STK
598,032560,KR7032560005,황금에스티,KOSPI,,8340,2,-160,-1.88,8500,8590,8300,115100,963586520,141780000000,17000000,STK
599,000180,KR7000180000,성창기업지주,KOSPI,,2030,2,-15,-0.73,2020,2075,2020,110636,225842460,141595748000,69751600,STK
600,134380,KR7134380005,미원화학,KOSPI,,64300,1,300,0.47,64100,64500,64100,556,35642100,141412932400,2199268,STK
601,023450,KR7023450000,동남합성,KOSPI,,40300,2,-200,-0.49,40500,41900,40300,561,22798600,141050000000,3500000,STK
602,009190,KR7009190000,대양금속,KOSPI,,4045,1,400,10.97,3620,4090,3600,1831000,7109151455,140701567195,34784071,STK
603,017550,KR7017550005,수산중공업,KOSPI,,2605,2,-5,-0.19,2620,2635,2575,187927,489207690,140631349615,53985163,STK
604,019440,KR7019440007,세아특수강,KOSPI,,16400,2,-290,-1.74,16670,16720,16300,42853,704259260,140548000000,8570000,STK
605,036580,KR7036580009,팜스코,KOSPI,,3800,1,155,4.25,3670,3810,3650,159000,597485540,139566183400,36727943,STK
606,023000,KR7023000003,삼원강재,KOSPI,,3430,1,30,0.88,3520,3525,3360,694906,2393683190,137200000000,40000000,STK
607,009470,KR7009470006,삼화전기,KOSPI,,20700,2,-1900,-8.41,22100,22150,20550,630950,13365569300,136906074000,6613820,STK
608,000230,KR7000230003,일동홀딩스,KOSPI,,11850,2,-420,-3.42,12240,12340,11850,50301,602341700,136753740000,11540400,STK
609,004080,KR7004080008,신흥,KOSPI,,14300,3,0,0.0,14280,14300,14220,1726,24665160,135850000000,9500000,STK
610,000320,KR7000320002,노루홀딩스,KOSPI,,10130,2,-150,-1.46,10280,10300,10090,11899,121306180,134639359630,13291151,STK
611,004090,KR7004090007,한국석유,KOSPI,,10530,2,-230,-2.14,10760,10780,10500,68805,726363460,133669083600,12694120,STK
612,012800,KR7012800009,대창,KOSPI,,1465,2,-20,-1.35,1475,1495,1436,607119,889310158,133520831035,91140499,STK
613,002200,KR7002200004,한국수출포장,KOSPI,,3330,2,-70,-2.06,3355,3400,3290,70058,232812235,133200000000,40000000,STK
614,248170,KR7248170003,샘표식품,KOSPI,,29050,2,-450,-1.53,29350,29450,28950,8007,232942250,132708708300,4568286,STK
615,004150,KR7004150009,한솔홀딩스,KOSPI,,3130,2,-15,-0.48,3145,3150,3115,49261,154138870,131486846010,42008577,STK
616,008970,KR7008970006,동양철관,KOSPI,,1098,2,-43,-3.77,1135,1146,1088,1498619,1660390955,130536048420,118885290,STK
617,007280,KR7007280001,한국특강,KOSPI,,2145,1,95,4.63,2055,2190,2055,267842,570273405,129964687710,60589598,STK
618,003460,KR7003460003,유화증권,KOSPI,,2280,2,-15,-0.65,2280,2340,2280,3844,8878585,129281506200,56702415,STK
619,011150,KR7011150000,CJ씨푸드,KOSPI,,3580,1,105,3.02,3490,3610,3410,949164,3336981270,128632167340,35930773,STK
620,210540,KR7210540001,디와이파워,KOSPI,,11600,2,-400,-3.33,12010,12070,11550,100462,1172963660,128083812800,11041708,STK
621,014530,KR7014530000,극동유화,KOSPI,,3650,2,-40,-1.08,3685,3695,3650,51461,188532735,127273383000,34869420,STK
622,009070,KR7009070004,KCTC,KOSPI,,4235,2,-20,-0.47,4250,4280,4230,53640,228016525,127050000000,30000000,STK
623,267290,KR7267290005,경동도시가스,KOSPI,,21550,2,-400,-1.82,21900,22700,21550,58356,1279781500,127045999300,5895406,STK
624,372910,KR7372910000,한컴라이프케어,KOSPI,,4570,2,-160,-3.38,4690,4750,4555,119240,547343815,126472035420,27674406,STK
625,011330,KR7011330008,유니켐,KOSPI,,1499,2,-83,-5.25,1574,1574,1496,1029800,1562602509,126137111494,84147506,STK
626,010100,KR7010100006,한국무브넥스,KOSPI,,4110,2,-230,-5.3,4370,4605,4110,873076,3867394485,125151226200,30450420,STK
627,025560,KR7025560004,미래산업,KOSPI,,27300,1,500,1.87,26000,28100,22050,325167,8323982550,124910494800,4575476,STK
628,120030,KR7120030002,조선선재,KOSPI,,99100,1,1100,1.12,98100,100500,98000,2992,297187000,124633214100,1257651,STK
629,005430,KR7005430004,한국공항,KOSPI,,39050,3,0,0.0,39050,39100,38900,2751,107303950,123646162750,3166355,STK
630,002600,KR7002600005,조흥,KOSPI,,203500,3,0,0.0,209000,209000,203500,22,4489500,122100000000,600000,STK
631,003547,KR7003542008,대신증권2우B,KOSPI,,12170,3,0,0.0,12190,12200,12120,14517,176761700,121700000000,10000000,STK
632,000910,KR7000910000,유니온,KOSPI,,7710,2,-360,-4.46,7960,8040,7210,1197443,9240215150,120365582490,15611619,STK
633,214420,KR7214420002,토니모리,KOSPI,,4995,2,-25,-0.5,5000,5290,4855,612921,3117007565,120153721005,24054799,STK
634,33626K,KR733626K013,두산퓨얼셀1우,KOSPI,,8960,2,-50,-0.55,9010,9010,8900,3101,27699150,119743232000,13364200,STK
635,010600,KR7010600005,웰바이오텍,KOSPI,,1720,2,-43,-2.44,1763,1781,1600,1585573,2715580846,119108286880,69249004,STK
636,013360,KR7013360003,일성건설,KOSPI,,2200,2,-40,-1.79,2220,2260,2185,198826,439360460,118854736000,54024880,STK
637,016880,KR7016880007,웅진,KOSPI,,1480,2,-17,-1.14,1487,1497,1454,281282,414718493,118292078400,79927080,STK
638,003650,KR7003650009,미창석유,KOSPI,,67900,1,1100,1.65,66800,72800,66300,9082,628922200,118123728800,1739672,STK
639,017040,KR7017040007,광명전기,KOSPI,,2720,2,-45,-1.63,2765,2770,2675,564582,1528671235,117878312800,43337615,STK
640,119650,KR7119650000,KC코트렐,KOSPI,,3395,2,-50,-1.45,3445,3550,3320,874336,3001452890,117468548120,34600456,STK
641,003480,KR7003480001,한진중공업홀딩스,KOSPI,,3920,2,-25,-0.63,3900,3930,3870,14164,55177160,115756863040,29529812,STK
642,067830,KR7067830000,세이브존I&C,KOSPI,,2820,2,-15,-0.53,2835,2865,2785,36748,102888855,115735323900,41040895,STK
643,001045,KR7001041003,CJ우,KOSPI,,51100,2,-100,-0.2,51200,51200,50600,1340,68179200,115497395300,2260223,STK
644,023960,KR7023960008,에쓰씨엔지니어링,KOSPI,,3690,1,635,20.79,3160,3780,3100,5060073,17359369000,115310119950,31249355,STK
645,001750,KR7001750009,한양증권,KOSPI,,9040,1,60,0.67,8980,9110,8930,4243,38274260,115065947360,12728534,STK
646,123690,KR7123690000,한국화장품,KOSPI,,7120,2,-140,-1.93,7290,7290,7100,26129,187083550,114404160000,16068000,STK
647,013520,KR7013520002,화승코퍼레이션,KOSPI,,2285,1,40,1.78,2245,2390,2200,363198,834520915,114367110820,50051252,STK
648,034590,KR7034590000,인천도시가스,KOSPI,,26050,2,-200,-0.76,26150,26400,26050,1398,36652650,113962341700,4374754,STK
649,008870,KR7008870008,금비,KOSPI,,113000,2,-2900,-2.5,116500,116600,111500,4876,553743300,113000000000,1000000,STK
650,011300,KR7011300001,성안,KOSPI,,1846,2,-5,-0.27,1897,1897,1805,366958,667289234,112780526378,61094543,STK
651,002450,KR7002450005,삼익악기,KOSPI,,1241,2,-19,-1.51,1251,1270,1241,60599,75743395,112348865515,90530915,STK
652,000300,KR7000300004,대유플러스,KOSPI,,919,2,-18,-1.92,937,937,912,526041,483630104,111197873306,120998774,STK
653,000520,KR7000520007,삼일제약,KOSPI,,7390,2,-110,-1.47,7440,7500,7370,45332,335218290,110922104230,15009757,STK
654,003350,KR7003350006,한국화장품제조,KOSPI,,24450,2,-1150,-4.49,25850,25850,24300,46079,1144624350,110807400000,4532000,STK
655,000500,KR7000500009,가온전선,KOSPI,,17170,2,-110,-0.64,17530,17530,17000,48472,828910660,109182759420,6358926,STK
656,350520,KR7350520003,이지스레지던스리츠,KOSPI,,3850,2,-40,-1.03,3890,3900,3850,14051,54402000,109180675450,28358617,STK
657,264900,KR7264900002,크라운제과,KOSPI,,8700,2,-240,-2.68,8760,8940,8650,149067,1298539050,108957495000,12523850,STK
658,001560,KR7001560002,제일연마,KOSPI,,10870,2,-210,-1.9,11200,11200,10850,4101,44940160,108700000000,10000000,STK
659,035000,KR7035000009,지투알,KOSPI,,6560,1,10,0.15,6510,6570,6500,15448,100949540,108682203040,16567409,STK
660,009200,KR7009200007,무림페이퍼,KOSPI,,2590,2,-50,-1.89,2660,2660,2585,122055,318929110,107768112900,41609310,STK
661,004140,KR7004140000,동방,KOSPI,,2245,2,-30,-1.32,2280,2280,2230,130050,292647200,107696614670,47971766,STK
662,013870,KR7013870001,지엠비코리아,KOSPI,,5630,1,110,1.99,5590,5790,5440,278343,1579628650,107376936400,19072280,STK
663,058860,KR7058860008,KTis,KOSPI,,3070,2,-105,-3.31,3125,3175,3070,270564,840754285,106842140000,34802000,STK
