유동비율,자기자본이익률,자기자본성장률,총자산회전율,매출총이익성장률,총자산이익률,label
122.44,-10.78,99.67,5.42,-139.57,-3.75,0
944.74,2.85,20.07,0.0,60.15,2.5,0
727.32,-2.44,27.59,8.9,-34.68,-2.04,0
105.99,-2.75,-11.37,14.24,-37.61,-1.99,0
118.55,0.0,6.14,19.57,-10.69,0.0,0
161.1,4.88,200.8,53.8,159.27,1.57,0
245.43,-7.63,113.0,0.0,1.8,-3.61,0
123.05,6.95,29.45,0.0,41.29,2.84,0
98.6,10.73,-72.95,20.44,37.84,-5.1,0
107.58,3.91,17.84,33.27,13.08,1.41,0
398.14,0.75,2.86,0.0,15.18,0.64,0
250.15,1.36,4.72,53.8,8.31,0.99,0
111.64,-7.0,-31.5,14.2,-63.78,-5.39,0
117.92,3.7,45.48,0.0,2.18,1.81,0
162.28,-1.8,-7.41,11.07,-19.53,-1.36,0
312.35,2.67,4.75,23.58,41.7,2.23,0
173.5,-1.47,130.48,0.0,128.81,-0.95,0
87.89,1.79,7.15,0.0,51.78,0.74,0
172.96,3.31,10.59,0.0,13.16,1.44,0
360.72,1.54,3.49,0.0,-18.19,1.29,0
508.96,4.29,18.83,0.0,76.89,3.61,0
252.24,0.0,10.86,17.86,8.97,0.0,0
141.96,0.55,0.48,37.21,-13.02,0.29,0
160.48,0.71,3.55,24.3,760.97,0.37,0
308.19,0.6,30.27,11.86,-16.13,0.35,0
177.31,1.48,5.78,32.06,20.93,0.86,0
68.25,-0.29,-0.09,21.65,186.96,-0.11,0
110.2,-1.27,9.68,26.98,-42.11,-0.46,0
74.71,-0.39,0.37,6.2,-66.51,-0.22,0
141.86,1.02,2.81,8.92,1.62,0.67,0
67.53,1.33,16.56,13.64,-4.31,0.67,0
398.91,2.27,104.61,0.0,23.54,1.39,0
64.0,0.84,52.01,24.64,26.19,0.31,0
87.16,0.0,26.9,18.46,12.88,0.0,0
638.24,-2.2,-8.76,31.37,-57.93,-1.63,0
194.51,4.33,16.68,0.0,29.92,2.41,0
144.48,1.44,4.16,0.0,27.19,0.8,0
179.36,-3.37,-13.13,0.0,-73.14,-2.77,0
126.86,-1.08,-6.26,15.57,-4.76,-0.6,0
712.93,2.94,11.14,0.0,20.49,2.59,0
127.87,2.45,8.15,27.72,1.64,1.23,0
28.6,-34.34,309.28,14.03,-4.22,-2.14,0
94.88,1.22,2.3,33.38,5.55,0.52,0
197.23,3.09,14.16,0.0,38.09,1.94,0
68.35,-34.34,130.51,29.87,-75.13,-4.39,0
313.76,2.39,9.59,0.0,-1.16,1.94,0
28.6,-4.6,-17.6,19.2,-76.71,-2.59,0
72.49,-1.4,-0.69,0.0,-5.01,-0.85,0
84.79,1.48,21.46,20.0,33.75,0.67,0
257.26,2.61,9.74,0.0,7.29,1.64,0
389.92,-5.11,-4.46,12.52,149.15,-3.57,0
133.01,0.57,2.23,0.0,28.5,0.22,0
294.64,3.24,11.14,28.44,17.46,2.46,0
144.9,4.54,37.67,0.0,7.58,2.16,0
54.9,0.11,3.83,26.8,-34.47,0.07,1
34.62,0.51,20.88,31.22,24.74,0.15,0
516.29,2.53,12.43,14.55,12.36,1.92,0
126.91,0.75,1.93,0.0,16.81,0.45,0
41.58,-2.55,26.23,0.0,-28.05,-0.98,0
95.68,-7.87,-14.77,32.0,-74.75,-2.68,0
504.89,2.86,8.33,31.87,2.04,2.41,0
61.65,-1.17,-5.02,0.0,7.57,-0.59,0
80.48,1.59,4.09,0.0,-14.53,0.69,0
170.37,-1.65,2.5,23.92,-8.11,-0.92,0
87.07,-0.48,-1.76,17.34,-7.44,-0.23,0
131.93,1.37,4.49,0.0,24.39,0.79,0
70.94,-0.37,-1.56,15.51,131.55,-0.17,0
174.86,0.0,19.88,0.0,15.87,0.0,0
155.22,5.47,23.51,30.18,161.58,3.44,0
122.81,-7.57,309.28,27.43,-3.8,-1.15,0
170.7,0.0,8.12,33.3,75.88,0.0,0
145.22,-0.65,-3.82,0.0,-16.86,-0.28,0
214.52,0.0,3.57,11.57,-10.31,0.0,0
34.09,-4.77,15.99,0.0,33.96,-0.46,0
65.74,1.8,14.13,8.95,-10.33,0.68,0
126.63,0.0,6.77,0.0,3.99,0.0,0
102.5,-0.99,-6.07,0.0,99.84,-0.24,0
128.13,1.17,2.96,0.0,6.67,0.7,0
171.33,-7.69,-26.66,12.18,-19.78,-3.37,1
106.04,4.12,11.83,18.2,20.06,2.46,0
891.81,-1.44,29.84,0.0,9.75,-1.25,0
243.33,0.21,1.34,19.02,-18.55,0.14,0
206.04,0.0,-0.12,29.71,-10.48,0.0,0
84.27,0.31,0.75,53.8,-39.95,0.07,0
